2.100,Al
0.300,Fe
4.900,Pb
0.300,Fe
0.100,Si
0.100,Si
0.100,Si
1.200,CuW
6.000,Cu
1.200,CuW
0.100,Si
0.100,Si
0.100,Si
0.300,Fe
4.900,Pb
0.300,Fe
0.100,Si
0.100,Si
0.100,Si
1.200,CuW
6.000,Cu
1.200,CuW
0.100,Si
0.100,Si
0.100,Si
0.300,Fe
4.900,Pb
0.300,Fe
0.100,Si
0.100,Si
0.100,Si
1.200,CuW
6.000,Cu
1.200,CuW
0.100,Si
0.100,Si
0.100,Si
0.300,Fe
4.900,Pb
0.300,Fe
0.100,Si
0.100,Si
0.100,Si
1.200,CuW
6.000,Cu
1.200,CuW
0.100,Si
0.100,Si
0.100,Si
0.300,Fe
4.900,Pb
0.300,Fe
0.100,Si
0.100,Si
0.100,Si
1.200,CuW
6.000,Cu
1.200,CuW
0.100,Si
0.100,Si
0.100,Si
0.300,Fe
4.900,Pb
0.300,Fe
0.100,Si
0.100,Si
0.100,Si
1.200,CuW
6.000,Cu
1.200,CuW
0.100,Si
0.100,Si
0.100,Si
0.300,Fe
4.900,Pb
0.300,Fe
0.100,Si
0.100,Si
0.100,Si
1.200,CuW
6.000,Cu
1.200,CuW
0.100,Si
0.100,Si
0.100,Si
0.300,Fe
4.900,Pb
0.300,Fe
0.100,Si
0.100,Si
0.100,Si
1.200,Cu
1.200,CuW
6.000,Cu
1.200,CuW
1.200,Cu
0.100,Si
0.100,Si
0.100,Si
0.300,Fe
4.900,Pb
0.300,Fe
0.100,Si
0.100,Si
0.100,Si
1.200,CuW
6.000,Cu
1.200,CuW
0.100,Si
0.100,Si
0.100,Si
0.300,Fe
4.900,Pb
0.300,Fe
0.100,Si
0.100,Si
0.100,Si
1.200,Cu
1.200,CuW
6.000,Cu
1.200,CuW
1.200,Cu
0.100,Si
0.100,Si
0.100,Si
0.300,Fe
4.900,Pb
0.300,Fe
0.100,Si
0.100,Si
0.100,Si
1.200,CuW
6.000,Cu
1.200,CuW
0.100,Si
0.100,Si
0.100,Si
0.300,Fe
4.900,Pb
0.300,Fe
0.100,Si
0.100,Si
0.100,Si
1.200,Cu
1.200,CuW
6.000,Cu
1.200,CuW
0.100,Si
0.100,Si
0.100,Si
0.300,Fe
4.900,Pb
0.300,Fe
0.100,Si
0.100,Si
0.100,Si
1.200,CuW
6.000,Cu
1.200,CuW
0.100,Si
0.100,Si
0.100,Si
0.300,Fe
4.900,Pb
0.300,Fe
0.100,Si
0.100,Si
0.100,Si
1.200,CuW
6.000,Cu
1.200,CuW
0.100,Si
0.100,Si
0.100,Si
2.100,Al
